Chicago,"Chicago: Jan. 2013 - Dec. 2019
Population: 2.70 mil.
Total killed by police: 76
Blacks killed by police: 56
Avg. killed/yr. (per mil.): 4.0
Avg. Blacks killed/yr. (per mil.): 9.2
Blacks killed rate = 2.28x all killed rate
Black pop. proportion: 32.4%
Black killed proportion: 73.7%
Avg. resident homicides/yr. (per mil.): 15.2
Avg. police homicides/yr.(per mil.): 4.0
Police homicides = 26.4% of total homicides/yr.
Police killings per 10k arrests: 9.9
"
Los Angeles,"Los Angeles: Jan. 2013 - Dec. 2019
Population: 3.79 mil.
Total killed by police: 124
Blacks killed by police: 27
Avg. killed/yr. (per mil.): 4.7
Avg. Blacks killed/yr. (per mil.): 11.1
Blacks killed rate = 2.38x all killed rate
Black pop. proportion: 9.2%
Black killed proportion: 21.8%
Avg. resident homicides/yr. (per mil.): 1.5
Avg. police homicides/yr.(per mil.): 4.7
Police homicides = 316.3% of total homicides/yr.
Police killings per 10k arrests: 17.9
"
Jersey City,"Jersey City: Jan. 2013 - Dec. 2019
Population: 0.25 mil.
Total killed by police: 8
Blacks killed by police: 8
Avg. killed/yr. (per mil.): 4.6
Avg. Blacks killed/yr. (per mil.): 19.4
Blacks killed rate = 4.19x all killed rate
Black pop. proportion: 23.9%
Black killed proportion: 100.0%
Avg. resident homicides/yr. (per mil.): 31.5
Avg. police homicides/yr.(per mil.): 4.6
Police homicides = 14.7% of total homicides/yr.
Police killings per 10k arrests: 12.6
"
Chandler,"Chandler: Jan. 2013 - Dec. 2019
Population: 0.24 mil.
Total killed by police: 5
Blacks killed by police: 0
Avg. killed/yr. (per mil.): 3.0
Avg. Blacks killed/yr. (per mil.): 0.0
Blacks killed rate = 0.00x all killed rate
Black pop. proportion: 4.5%
Black killed proportion: 0.0%
Avg. resident homicides/yr. (per mil.): 0.4
Avg. police homicides/yr.(per mil.): 3.0
Police homicides = 714.3% of total homicides/yr.
Police killings per 10k arrests: 7.9
"
Austin,"Austin: Jan. 2013 - Dec. 2019
Population: 0.79 mil.
Total killed by police: 32
Blacks killed by police: 5
Avg. killed/yr. (per mil.): 5.8
Avg. Blacks killed/yr. (per mil.): 11.8
Blacks killed rate = 2.03x all killed rate
Black pop. proportion: 7.7%
Black killed proportion: 15.6%
Avg. resident homicides/yr. (per mil.): 4.0
Avg. police homicides/yr.(per mil.): 5.8
Police homicides = 142.9% of total homicides/yr.
Police killings per 10k arrests: 10.4
"
Dallas,"Dallas: Jan. 2013 - Dec. 2019
Population: 1.20 mil.
Total killed by police: 40
Blacks killed by police: 15
Avg. killed/yr. (per mil.): 4.8
Avg. Blacks killed/yr. (per mil.): 7.3
Blacks killed rate = 1.53x all killed rate
Black pop. proportion: 24.6%
Black killed proportion: 37.5%
Avg. resident homicides/yr. (per mil.): 9.7
Avg. police homicides/yr.(per mil.): 4.8
Police homicides = 49.3% of total homicides/yr.
Police killings per 10k arrests: 12.9
"
Rochester,"Rochester: Jan. 2013 - Dec. 2019
Population: 0.21 mil.
Total killed by police: 4
Blacks killed by police: 2
Avg. killed/yr. (per mil.): 2.7
Avg. Blacks killed/yr. (per mil.): 3.4
Blacks killed rate = 1.26x all killed rate
Black pop. proportion: 39.6%
Black killed proportion: 50.0%
Avg. resident homicides/yr. (per mil.): 13.3
Avg. police homicides/yr.(per mil.): 2.7
Police homicides = 20.4% of total homicides/yr.
Police killings per 10k arrests: 0.0
"
Chesapeake,"Chesapeake: Jan. 2013 - Dec. 2019
Population: 0.22 mil.
Total killed by police: 2
Blacks killed by police: 2
Avg. killed/yr. (per mil.): 1.3
Avg. Blacks killed/yr. (per mil.): 4.4
Blacks killed rate = 3.41x all killed rate
Black pop. proportion: 29.3%
Black killed proportion: 100.0%
Avg. resident homicides/yr. (per mil.): 4.5
Avg. police homicides/yr.(per mil.): 1.3
Police homicides = 28.6% of total homicides/yr.
Police killings per 10k arrests: 3.7
"
Charlotte,"Charlotte: Jan. 2013 - Dec. 2019
Population: 0.73 mil.
Total killed by police: 21
Blacks killed by police: 12
Avg. killed/yr. (per mil.): 4.1
Avg. Blacks killed/yr. (per mil.): 6.8
Blacks killed rate = 1.66x all killed rate
Black pop. proportion: 34.5%
Black killed proportion: 57.1%
Avg. resident homicides/yr. (per mil.): 6.4
Avg. police homicides/yr.(per mil.): 4.1
Police homicides = 63.8% of total homicides/yr.
Police killings per 10k arrests: 8.9
"
Jacksonville,"Jacksonville: Jan. 2013 - Dec. 2019
Population: 0.82 mil.
Total killed by police: 39
Blacks killed by police: 20
Avg. killed/yr. (per mil.): 6.8
Avg. Blacks killed/yr. (per mil.): 11.5
Blacks killed rate = 1.70x all killed rate
Black pop. proportion: 30.1%
Black killed proportion: 51.3%
Avg. resident homicides/yr. (per mil.): 2.9
Avg. police homicides/yr.(per mil.): 6.8
Police homicides = 232.1% of total homicides/yr.
Police killings per 10k arrests: 15.4
"
